mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,0,0
22.3,4,140.0,88.0,2890,17.3,79,1,22.299999237060547,24.28720474243164
19.0,4,120.0,88.0,3270,21.9,76,2,19.0,23.3961181640625
19.8,6,200.0,85.0,2990,18.2,79,1,19.799999237060547,22.748281478881836
31.0,4,79.0,67.0,1950,19.0,74,3,31.0,31.852558135986328
14.0,8,350.0,165.0,4209,12.0,71,1,14.0,12.71654987335205
14.0,8,340.0,160.0,3609,8.0,70,1,14.0,13.09727954864502
43.4,4,90.0,48.0,2335,23.7,80,2,43.400001525878906,33.34973907470703
26.0,4,98.0,79.0,2255,17.7,76,1,26.0,28.57959747314453
33.5,4,85.0,70.0,1945,16.8,77,3,33.5,32.18628692626953
19.0,4,122.0,85.0,2310,18.5,73,1,19.0,26.40459442138672
22.0,4,121.0,98.0,2945,14.5,75,2,22.0,21.826274871826172
27.2,4,119.0,97.0,2300,14.7,78,3,27.200000762939453,28.339580535888672
32.7,6,168.0,132.0,2910,11.4,80,3,32.70000076293945,22.794294357299805
29.0,4,68.0,49.0,1867,19.5,73,2,29.0,31.945886611938477
17.6,6,225.0,85.0,3465,16.6,81,1,17.600000381469727,19.0245361328125
23.0,4,151.0,93.5,3035,20.5,82,1,23.0,25.849485397338867
34.0,4,108.0,70.0,2245,16.9,82,3,34.0,31.9205379486084
17.6,8,302.0,129.0,3725,13.4,79,1,17.600000381469727,16.230484008789062
30.7,6,145.0,76.0,3160,19.6,81,2,30.700000762939453,25.313663482666016
21.0,6,231.0,110.0,3039,15.0,75,1,21.0,18.169374465942383
38.0,4,91.0,67.0,1995,16.2,82,3,38.0,33.81531524658203
16.0,8,302.0,140.0,4141,14.0,74,1,16.0,13.927510261535645
15.0,6,250.0,72.0,3432,21.0,75,1,15.0,17.545852661132812
20.0,6,225.0,100.0,3651,17.7,76,1,20.0,15.999058723449707
29.0,4,90.0,70.0,1937,14.2,76,2,29.0,29.938396453857422
32.0,4,144.0,96.0,2665,13.9,82,3,32.0,26.687084197998047
18.0,8,318.0,150.0,3436,11.0,70,1,18.0,14.020455360412598
32.0,4,85.0,70.0,1990,17.0,76,3,32.0,31.484622955322266
15.0,8,350.0,145.0,4082,13.0,73,1,15.0,13.987366676330566
16.0,8,351.0,149.0,4335,14.5,77,1,16.0,14.653946876525879
34.0,4,112.0,88.0,2395,18.0,82,1,34.0,30.25438117980957
10.0,8,307.0,200.0,4376,15.0,70,1,10.0,11.791394233703613
19.0,4,121.0,112.0,2868,15.5,73,2,19.0,21.844242095947266
28.4,4,151.0,90.0,2670,16.0,79,1,28.399999618530273,24.886943817138672
15.0,8,302.0,130.0,4295,14.9,77,1,15.0,14.633400917053223
32.3,4,97.0,67.0,2065,17.8,81,3,32.29999923706055,33.38675308227539
30.0,4,98.0,68.0,2155,16.5,78,1,30.0,29.683488845825195
26.4,4,140.0,88.0,2870,18.1,80,1,26.399999618530273,25.26222038269043
30.0,4,135.0,84.0,2385,12.9,81,1,30.0,26.88909339904785
19.0,6,232.0,100.0,2901,16.0,74,1,19.0,19.029924392700195
13.0,8,302.0,140.0,4294,16.0,72,1,13.0,27.423355102539062
32.2,4,108.0,75.0,2265,15.2,80,3,32.20000076293945,14.005603790283203
27.0,4,97.0,88.0,2130,14.5,71,3,27.0,13.43537425994873
28.0,4,98.0,80.0,2164,15.0,72,1,28.0,12.955626487731934
44.6,4,91.0,67.0,1850,13.8,80,3,44.599998474121094,13.226101875305176
18.0,6,232.0,100.0,2789,15.0,73,1,18.0,23.687469482421875
39.4,4,85.0,70.0,2070,18.6,78,3,39.400001525878906,12.511494636535645
25.1,4,140.0,88.0,2720,15.4,78,1,25.100000381469727,15.791735649108887
16.0,6,250.0,100.0,3781,17.0,74,1,16.0,22.583301544189453
43.1,4,90.0,48.0,1985,21.5,78,2,43.099998474121094,12.203927993774414
25.0,4,140.0,92.0,2572,14.9,76,1,25.0,16.242908477783203
16.9,8,350.0,155.0,4360,14.9,79,1,16.899999618530273,32.49751663208008
13.0,8,400.0,175.0,5140,12.0,71,1,13.0,34.694942474365234
20.2,6,200.0,88.0,3060,17.1,81,1,20.200000762939453,20.316274642944336
14.0,8,351.0,153.0,4129,13.0,72,1,14.0,32.478607177734375
37.0,4,119.0,92.0,2434,15.0,80,3,37.0,15.320509910583496
13.0,8,350.0,175.0,4100,13.0,73,1,13.0,33.70054244995117
21.5,4,121.0,110.0,2600,12.8,77,2,21.5,15.46030330657959
27.0,4,101.0,83.0,2202,15.3,76,2,27.0,13.652325630187988
14.0,8,351.0,148.0,4657,13.5,75,1,14.0,30.944232940673828
15.0,8,400.0,150.0,3761,9.5,70,1,15.0,37.098480224609375
17.0,6,250.0,100.0,3329,15.5,71,1,17.0,23.548076629638672
9.0,8,304.0,193.0,4732,18.5,70,1,9.0,29.169254302978516
23.0,4,140.0,78.0,2592,18.5,75,1,23.0,15.695651054382324
26.0,4,79.0,67.0,1963,15.5,74,2,26.0,11.515424728393555
34.3,4,97.0,78.0,2188,15.8,80,2,34.29999923706055,13.423272132873535
23.2,4,156.0,105.0,2745,16.7,78,1,23.200000762939453,18.080169677734375
17.5,8,305.0,145.0,3880,12.5,77,1,17.5,29.19422149658203
12.0,8,455.0,225.0,4951,11.0,73,1,12.0,42.58327102661133
30.0,4,79.0,70.0,2074,19.5,71,2,30.0,11.48448657989502
30.5,4,97.0,78.0,2190,14.1,77,2,30.5,13.053019523620605
25.4,5,183.0,77.0,3530,20.1,79,2,25.399999618530273,17.107173919677734
44.3,4,90.0,48.0,2085,21.7,80,2,44.29999923706055,12.075027465820312
23.0,4,120.0,88.0,2957,17.0,75,2,23.0,13.412312507629395
14.0,8,318.0,150.0,4096,13.0,71,1,14.0,29.544654846191406
29.8,4,89.0,62.0,1845,15.3,80,2,29.799999237060547,12.858986854553223
26.5,4,140.0,72.0,2565,13.6,76,1,26.5,15.1033353805542
20.2,6,200.0,85.0,2965,15.8,78,1,20.200000762939453,20.1055908203125
38.0,6,262.0,85.0,3015,17.0,82,1,38.0,25.615360260009766
17.0,8,302.0,140.0,3449,10.5,70,1,17.0,29.25053596496582
20.5,6,225.0,100.0,3430,17.2,78,1,20.5,21.78513526916504
32.4,4,108.0,75.0,2350,16.8,81,3,32.400001525878906,13.970812797546387
18.0,6,250.0,88.0,3021,16.5,73,1,18.0,24.045513153076172
20.5,6,231.0,105.0,3425,16.9,77,1,20.5,22.4722957611084
25.8,4,156.0,92.0,2620,14.4,81,1,25.799999237060547,17.777385711669922
13.0,8,350.0,145.0,4055,12.0,76,1,13.0,32.390113830566406
24.0,4,134.0,96.0,2702,13.5,75,3,24.0,15.534390449523926
16.0,6,250.0,100.0,3278,18.0,73,1,16.0,24.058631896972656
13.0,8,318.0,150.0,3755,14.0,76,1,13.0,30.98124122619629
21.0,4,122.0,86.0,2226,16.5,72,1,21.0,15.257800102233887
19.0,6,250.0,100.0,3282,15.0,71,1,19.0,23.640731811523438
25.0,4,98.0,93.5,2046,19.0,71,1,25.0,14.282292366027832
27.5,4,134.0,95.0,2560,14.2,78,3,27.5,16.171123504638672
18.0,6,250.0,78.0,3574,21.0,76,1,18.0,22.527019500732422
34.5,4,100.0,93.5,2320,15.8,81,2,34.5,14.177498817443848
11.0,8,318.0,210.0,4382,13.5,70,1,11.0,31.824974060058594
32.1,4,98.0,70.0,2120,15.5,80,1,32.099998474121094,13.179206848144531
15.5,8,350.0,170.0,4165,11.4,77,1,15.5,33.39800262451172
18.6,6,225.0,110.0,3620,18.7,78,1,18.600000381469727,21.888084411621094
18.2,8,318.0,135.0,3830,15.2,79,1,18.200000762939453,30.299667358398438
15.0,6,258.0,110.0,3730,19.0,75,1,15.0,24.180280685424805
27.2,4,135.0,84.0,2490,15.7,81,1,27.200000762939453,16.067546844482422
14.0,8,318.0,150.0,4457,13.5,74,1,14.0,28.756465911865234
13.0,8,350.0,165.0,4274,12.0,72,1,13.0,32.51313400268555
18.0,6,225.0,105.0,3613,16.5,74,1,18.0,21.166744232177734
15.0,6,250.0,100.0,3336,17.0,74,1,15.0,23.874706268310547
14.0,8,455.0,225.0,4425,10.0,70,1,14.0,43.806522369384766
15.0,8,318.0,150.0,4135,13.5,72,1,15.0,29.54712677001953
23.9,8,260.0,90.0,3420,22.2,79,1,23.899999618530273,24.825340270996094
24.0,4,113.0,95.0,2372,15.0,70,3,24.0,14.429093360900879
16.0,8,400.0,170.0,4668,11.5,75,1,16.0,36.046993255615234
14.0,8,351.0,153.0,4154,13.5,71,1,14.0,32.37789535522461
26.6,8,350.0,105.0,3725,19.0,81,1,26.600000381469727,32.227447509765625
46.6,4,86.0,65.0,2110,17.9,80,3,46.599998474121094,12.301305770874023
31.5,4,98.0,68.0,2045,18.5,77,3,31.5,13.502161979675293
29.5,4,98.0,68.0,2135,16.6,78,3,29.5,13.146637916564941
27.0,4,112.0,88.0,2640,18.6,82,1,27.0,14.214978218078613
25.5,4,140.0,89.0,2755,15.8,77,1,25.5,15.705574989318848
20.0,4,130.0,102.0,3150,15.7,76,2,20.0,14.391430854797363
16.5,8,350.0,180.0,4380,12.1,76,1,16.5,16.04070281982422
35.7,4,98.0,80.0,1915,14.4,79,1,35.70000076293945,29.709209442138672
24.2,6,146.0,120.0,2930,13.8,81,3,24.200000762939453,28.300411224365234
20.2,8,302.0,139.0,3570,12.8,78,1,20.200000762939453,20.147323608398438
26.0,4,156.0,92.0,2585,14.5,82,1,26.0,27.659069061279297
22.4,6,231.0,110.0,3415,15.8,81,1,22.399999618530273,24.080806732177734
31.8,4,85.0,65.0,2020,19.2,79,3,31.799999237060547,32.852516174316406
30.9,4,105.0,75.0,2230,14.5,78,1,30.899999618530273,28.304916381835938
18.5,6,250.0,110.0,3645,16.2,76,1,18.5,21.259977340698242
16.0,6,250.0,105.0,3897,18.5,75,1,16.0,21.03533935546875
13.0,8,400.0,170.0,4746,12.0,71,1,13.0,11.788433074951172
30.0,4,111.0,80.0,2155,14.8,77,1,30.0,28.13306427001953
14.5,8,351.0,152.0,4215,12.8,76,1,14.5,16.503894805908203
41.5,4,98.0,76.0,2144,14.7,80,2,41.5,30.245452880859375
20.8,6,200.0,85.0,3070,16.7,78,1,20.799999237060547,24.83428382873535
13.0,8,360.0,170.0,4654,13.0,73,1,13.0,14.187324523925781
31.0,4,71.0,65.0,1773,19.0,71,3,31.0,30.82398223876953
15.0,8,350.0,165.0,3693,11.5,70,1,15.0,15.315752029418945
23.0,4,122.0,86.0,2220,14.0,71,1,23.0,25.185516357421875
22.0,4,122.0,86.0,2395,16.0,72,1,22.0,25.83985710144043
28.0,4,97.0,75.0,2155,16.4,76,3,28.0,30.085006713867188
16.0,6,225.0,105.0,3439,15.5,71,1,16.0,20.293136596679688
17.7,6,231.0,165.0,3445,13.4,78,1,17.700000762939453,22.410293579101562
13.0,8,400.0,150.0,4464,12.0,73,1,13.0,13.137065887451172
26.6,4,151.0,84.0,2635,16.4,81,1,26.600000381469727,27.93372344970703
30.0,4,88.0,76.0,2065,14.5,71,2,30.0,27.288158416748047
18.1,8,302.0,139.0,3205,11.2,78,1,18.100000381469727,20.529090881347656
22.0,6,146.0,97.0,2815,14.5,77,3,22.0,27.203838348388672
14.0,8,455.0,225.0,3086,10.0,70,1,14.0,14.160690307617188
24.3,4,151.0,90.0,3003,20.1,80,1,24.299999237060547,28.010536193847656
14.0,8,302.0,137.0,4042,14.5,73,1,14.0,17.63637924194336
23.9,4,119.0,97.0,2405,14.9,78,3,23.899999618530273,29.197021484375
13.0,8,302.0,129.0,3169,12.0,75,1,13.0,19.731815338134766
30.0,4,146.0,67.0,3250,21.8,80,2,30.0,28.63271713256836
36.0,4,135.0,84.0,2370,13.0,82,1,36.0,28.150707244873047
16.0,6,258.0,110.0,3632,18.0,74,1,16.0,21.02317237854004
28.8,6,173.0,115.0,2595,11.3,79,1,28.799999237060547,25.38283348083496
36.0,4,107.0,75.0,2205,14.5,82,3,36.0,31.21124839782715
31.3,4,120.0,75.0,2542,17.5,80,3,31.299999237060547,30.35378074645996
21.5,3,80.0,110.0,2720,13.5,77,3,21.5,28.386110305786133
35.0,4,72.0,69.0,1613,18.0,71,3,35.0,30.884475708007812
28.0,4,116.0,90.0,2123,14.0,71,2,28.0,26.333276748657227
18.0,6,171.0,97.0,2984,14.5,75,1,18.0,23.959522247314453
15.5,8,304.0,120.0,3962,13.9,76,1,15.5,18.5582332611084
32.0,4,135.0,84.0,2295,11.6,82,1,32.0,27.8251953125
17.5,8,305.0,140.0,4215,13.0,76,1,17.5,17.667709350585938
20.0,6,232.0,100.0,2914,16.0,75,1,20.0,23.169160842895508
25.0,4,97.5,80.0,2126,17.0,72,1,25.0,27.525741577148438
18.0,6,250.0,88.0,3139,14.5,71,1,18.0,19.94907569885254
39.0,4,86.0,64.0,1875,16.4,81,1,39.0,31.498924255371094
26.0,4,97.0,75.0,2265,18.2,77,3,26.0,30.839366912841797
19.2,6,231.0,105.0,3535,19.2,78,1,19.200000762939453,23.88230323791504
24.0,4,107.0,90.0,2430,14.5,70,2,24.0,25.55220603942871
28.0,4,151.0,90.0,2678,16.5,80,1,28.0,27.530147552490234
17.0,6,231.0,110.0,3907,21.0,75,1,17.0,22.479015350341797
21.6,4,121.0,115.0,2795,15.7,78,2,21.600000381469727,27.836151123046875
22.0,6,225.0,100.0,3233,15.4,76,1,22.0,22.63440704345703
31.9,4,89.0,71.0,1925,14.0,79,2,31.899999618530273,30.39215850830078
39.1,4,79.0,58.0,1755,16.9,81,3,39.099998474121094,33.54452896118164
19.4,6,232.0,90.0,3210,17.2,78,1,19.399999618530273,23.861474990844727
33.5,4,151.0,90.0,2556,13.2,79,1,33.5,26.242517471313477
24.0,4,120.0,97.0,2489,15.0,74,3,24.0,27.492429733276367
26.0,4,122.0,80.0,2451,16.5,74,1,26.0,26.57497787475586
31.0,4,79.0,67.0,2000,16.0,74,2,31.0,29.30723762512207
28.1,4,141.0,80.0,3230,20.4,81,2,28.100000381469727,28.762109756469727
18.0,6,232.0,100.0,2945,16.0,73,1,18.0,22.340553283691406
27.0,4,151.0,90.0,2735,18.0,82,1,27.0,28.686914443969727
13.0,8,350.0,145.0,3988,13.0,73,1,13.0,16.045177459716797
40.9,4,85.0,93.5,1835,17.3,80,2,40.900001525878906,32.53192901611328
13.0,8,302.0,130.0,3870,15.0,76,1,13.0,19.351486206054688
15.0,8,318.0,150.0,3399,11.0,73,1,15.0,17.742881774902344
31.0,4,119.0,82.0,2720,19.4,82,1,31.0,30.015201568603516
25.0,4,110.0,87.0,2672,17.5,70,2,25.0,25.92959213256836
16.0,8,318.0,150.0,4190,13.0,76,1,16.0,17.47960662841797
19.0,3,70.0,97.0,2330,13.5,72,3,19.0,27.731163024902344
12.0,8,350.0,180.0,4499,12.5,73,1,12.0,14.75296401977539
21.1,4,134.0,95.0,2515,14.8,78,3,21.100000381469727,28.460969924926758
37.7,4,89.0,62.0,2050,17.3,81,3,37.70000076293945,32.673526763916016
26.0,4,97.0,46.0,1950,21.0,73,2,26.0,30.327072143554688
